mutpb,cxpb,max_hard,max_medium,max_easy,curve_hard,curve_medium,curve_easy,timestamp_sec
0.5694159072559619,0.22647233065718364,-3700.93,-1009.41,-69.44,"[-3805.55, -3798.65, -3783.95, -3773.51, -3735.78, -3730.51, -3730.51, -3729.3, -3710.89, -3709.58, -3709.58, -3702.74, -3700.93]","[-1042.67, -1042.67, -1030.84, -1030.84, -1028.56, -1028.56, -1023.24, -1023.24, -1017.06, -1014.31, -1013.22, -1013.22, -1009.41]","[-102.83, -102.83, -87.62, -87.62, -87.27, -81.86, -77.97, -75.67, -75.67, -75.67, -75.67, -69.44, -69.44]",1760979148.7540689
0.5196330442340232,0.5514300719153764,-3697.99,-997.92,-60.05,"[-3805.55, -3804.06, -3798.75, -3780.9, -3774.78, -3759.64, -3723.69, -3723.69, -3723.69, -3702.25, -3702.25, -3697.99, -3697.99]","[-1042.67, -1035.21, -1035.21, -1035.05, -1026.18, -1012.01, -1012.01, -1010.1, -1004.95, -1004.95, -1004.95, -998.58, -997.92]","[-102.83, -80.63, -80.44, -73.35, -73.35, -68.04, -68.04, -66.3, -66.3, -62.02, -62.02, -62.02, -60.05]",1760979158.3982434
0.6278443704707055,0.3218840731203732,-3715.38,-982.93,-57.37,"[-3805.55, -3805.55, -3783.99, -3769.15, -3739.51, -3739.51, -3725.65, -3725.65, -3725.65, -3720.72, -3715.38, -3715.38, -3715.38]","[-1042.67, -1040.48, -1018.91, -1018.91, -1007.02, -1006.87, -1004.89, -1002.61, -997.2, -997.2, -996.62, -990.47, -982.93]","[-102.83, -81.52, -81.52, -73.66, -71.28, -71.28, -65.04, -64.85, -64.85, -64.66, -64.66, -57.37, -57.37]",1760979162.2349823
0.9030093934548235,0.8595686795857813,-3671.45,-995.69,-58.44,"[-3805.55, -3801.03, -3770.06, -3770.06, -3766.08, -3714.59, -3702.05, -3702.05, -3691.28, -3680.63, -3680.63, -3678.59, -3671.45]","[-1042.67, -1032.54, -1030.29, -1028.24, -1028.24, -1024.3, -1016.11, -1016.11, -1009.81, -1006.85, -1006.85, -995.69, -995.69]","[-102.83, -80.63, -72.24, -72.24, -72.24, -67.18, -67.18, -65.72, -65.72, -65.72, -62.22, -59.47, -58.44]",1760979183.8100684
0.14475624091396547,0.3341066174753605,-3727.69,-1025.62,-66.53,"[-3805.55, -3805.55, -3805.55, -3804.13, -3785.98, -3785.98, -3772.33, -3772.33, -3772.33, -3772.33, -3731.43, -3731.43, -3727.69]","[-1042.67, -1042.67, -1042.67, -1042.67, -1040.79, -1040.79, -1040.79, -1036.55, -1036.55, -1033.83, -1032.9, -1025.62, -1025.62]","[-102.83, -81.52, -81.52, -81.52, -80.63, -67.16, -67.16, -67.16, -66.53, -66.53, -66.53, -66.53, -66.53]",1760979211.396248
0.7533262643931242,0.09444324792807698,-3713.02,-1016.19,-50.85,"[-3805.55, -3797.51, -3782.16, -3775.36, -3765.77, -3746.64, -3746.64, -3734.09, -3734.09, -3734.09, -3734.09, -3734.09, -3713.02]","[-1042.67, -1042.67, -1040.98, -1028.96, -1028.96, -1028.96, -1028.09, -1028.09, -1025.12, -1023.65, -1020.03, -1016.19, -1016.19]","[-102.83, -102.83, -102.83, -93.44, -93.44, -88.65, -76.63, -76.01, -69.76, -61.03, -59.62, -50.85, -50.85]",1760979236.2984087
0.7981228840481414,0.2042805075947086,-3649.74,-990.7,-68.13,"[-3805.55, -3797.51, -3782.16, -3782.16, -3782.16, -3719.59, -3719.59, -3678.07, -3678.07, -3675.66, -3656.44, -3656.44, -3649.74]","[-1042.67, -1037.63, -1037.63, -1029.89, -1029.89, -1028.14, -1021.35, -1016.51, -1014.63, -1014.63, -1009.76, -1005.99, -990.7]","[-102.83, -102.83, -102.83, -102.83, -98.05, -86.87, -82.11, -82.11, -81.36, -76.05, -75.11, -71.71, -68.13]",1760979251.9064434
0.8287856940480104,0.8128111195445329,-3662.55,-994.65,-46.38,"[-3805.55, -3792.59, -3779.07, -3760.3, -3733.31, -3721.64, -3721.64, -3721.64, -3716.28, -3704.68, -3669.45, -3669.18, -3662.55]","[-1042.67, -1036.08, -1036.08, -1031.81, -1027.3, -1014.95, -1014.95, -1008.43, -1005.39, -1005.39, -994.65, -994.65, -994.65]","[-102.83, -80.63, -68.32, -68.32, -68.32, -55.47, -55.47, -53.11, -53.11, -46.38, -46.38, -46.38, -46.38]",1760979290.3577673
0.3732960520632093,0.6272570385496717,-3681.8,-1000.15,-65.8,"[-3805.55, -3805.55, -3790.73, -3774.23, -3774.23, -3733.64, -3733.64, -3721.46, -3720.62, -3720.62, -3692.95, -3681.8, -3681.8]","[-1042.67, -1035.21, -1028.31, -1024.02, -1019.38, -1019.38, -1015.73, -1015.73, -1010.49, -1010.36, -1009.56, -1000.15, -1000.15]","[-102.83, -81.52, -81.33, -78.83, -78.04, -77.71, -76.92, -71.47, -71.47, -69.63, -66.68, -65.8, -65.8]",1760979293.810234
0.8748983221702037,0.3088198407778673,-3658.73,-1005.89,-47.27,"[-3805.55, -3805.55, -3783.27, -3763.81, -3751.53, -3712.47, -3712.47, -3712.36, -3697.38, -3697.38, -3660.99, -3660.99, -3658.73]","[-1042.67, -1042.67, -1031.32, -1030.74, -1029.29, -1029.29, -1023.47, -1023.47, -1018.23, -1017.09, -1006.73, -1006.73, -1005.89]","[-102.83, -81.52, -81.52, -67.61, -61.5, -61.5, -54.21, -54.21, -54.21, -53.73, -53.73, -53.73, -47.27]",1760979343.0102003
