algo,candidate_id,seed,error,json_path,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,c1,c2,w,generations,popsize,best_first,best_last,best_impr_abs,best_impr_pct,best_plateau_gen,best_volatility_std,best_n_strict_improvements,len_best,len_mean,len_median,final_mean,final_median,final_std,final_variance,avg_std,avg_variance,best_genome,n_best_genomes
joint,100,101,,results\joint\runs\joint_c100_s101.json,9625.15,944417.5249999998,9444.175249999998,3414.3462615013123,7900,False,None,,,,0.22342374612296612,0.33232290828251243,0.021375944208441515,,,,100,100,,,,,,,,101,101,101,8847.210500000001,9217.875,,,,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...",1
joint,100,202,,results\joint\runs\joint_c100_s202.json,9598.55,949263.6249999998,9492.636249999998,3480.7631130218506,7900,False,None,,,,0.22342374612296612,0.33232290828251243,0.021375944208441515,,,,100,100,,,,,,,,101,101,101,9019.8685,9397.599999999999,,,,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...",2
joint,100,303,,results\joint\runs\joint_c100_s303.json,9647.95,951110.15,9511.1015,3496.837230682373,7900,False,None,,,,0.22342374612296612,0.33232290828251243,0.021375944208441515,,,,100,100,,,,,,,,101,101,101,8982.195000000002,9512.425,,,,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...",1
joint,100,404,,results\joint\runs\joint_c100_s404.json,9569.8,941024.4500000008,9410.244500000008,3456.755210161209,7900,False,None,,,,0.22342374612296612,0.33232290828251243,0.021375944208441515,,,,100,100,,,,,,,,101,101,101,8878.024,9299.175,,,,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...",1
joint,100,505,,results\joint\runs\joint_c100_s505.json,9609.2,944918.5499999996,9449.185499999996,3509.0775196552277,7900,False,None,,,,0.22342374612296612,0.33232290828251243,0.021375944208441515,,,,100,100,,,,,,,,101,101,101,9006.086,9449.225,,,,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...",1
joint,100,606,,results\joint\runs\joint_c100_s606.json,9628.4,944170.9749999993,9441.709749999993,3446.48326420784,7900,False,None,,,,0.22342374612296612,0.33232290828251243,0.021375944208441515,,,,100,100,,,,,,,,101,101,101,9007.926,9366.025,,,,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...",1
joint,10,101,,results\joint\runs\joint_c10_s101.json,9313.0,924377.2999999995,9243.772999999994,2622.547065258026,5200,False,None,,,,0.49997415568782155,0.05691770646392998,0.20102507820659643,,,,100,100,,,,,,,,101,101,101,8908.466,9209.975,,,,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...",1
joint,10,202,,results\joint\runs\joint_c10_s202.json,9388.45,929658.4749999982,9296.584749999982,2623.1341121196747,5200,False,None,,,,0.49997415568782155,0.05691770646392998,0.20102507820659643,,,,100,100,,,,,,,,101,101,101,9074.6295,9282.925,,,,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...",1
joint,10,303,,results\joint\runs\joint_c10_s303.json,9379.2,928929.7249999992,9289.297249999992,2672.3223617076874,5200,False,None,,,,0.49997415568782155,0.05691770646392998,0.20102507820659643,,,,100,100,,,,,,,,101,101,101,9014.205,9283.55,,,,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...",1
joint,10,404,,results\joint\runs\joint_c10_s404.json,9272.25,920000.875,9200.00875,2294.9343526363373,5200,False,None,,,,0.49997415568782155,0.05691770646392998,0.20102507820659643,,,,100,100,,,,,,,,101,101,101,8903.007,9160.65,,,,,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,...",1
