algo,candidate_id,seed,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,p_macro,p_micro,lambda_in,lambda_out,tourn_size,parent_selection,mating_selection,p_min,tau_percent,fix_last_gene,c1,c2,w,error
baseline,1008,1001,438.65,43836.87500000009,438.3687500000009,119.80880856513977,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1008,101,438.35,43826.14999999993,438.2614999999993,120.14455461502075,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1008,1102,438.35,43822.174999999945,438.2217499999995,121.29380416870117,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1008,202,438.5,43816.84999999998,438.16849999999977,120.66655254364014,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1008,303,438.65,43848.5750000001,438.48575000000096,121.19014549255371,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1008,404,438.2,43803.49999999995,438.0349999999995,120.7288384437561,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1008,505,438.65,43842.8,438.42800000000005,122.21720910072327,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1008,606,438.65,43858.92500000008,438.58925000000085,120.9395363330841,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1008,707,438.65,43828.62500000008,438.2862500000008,122.01577663421631,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1008,808,438.65,43844.37500000008,438.4437500000008,120.8360698223114,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1008,909,438.65,43844.97500000008,438.4497500000008,123.05433058738708,2122,False,None,,,,,0.15,0.3,0.0,0.0,,,5.0,,,,,True,,,,
baseline,1030,1001,438.65,43854.42500000008,438.54425000000083,119.41830325126648,2122,False,None,,,,,0.175,0.035,0.0,0.0,,,2.0,,,,,True,,,,
baseline,1030,101,438.65,43857.95000000008,438.5795000000008,119.47579050064087,2122,False,None,,,,,0.175,0.035,0.0,0.0,,,2.0,,,,,True,,,,
baseline,1030,1102,438.65,43852.325000000084,438.52325000000087,119.2452175617218,2122,False,None,,,,,0.175,0.035,0.0,0.0,,,2.0,,,,,True,,,,
baseline,1030,202,438.65,43850.225000000086,438.50225000000086,120.56807112693787,2122,False,None,,,,,0.175,0.035,0.0,0.0,,,2.0,,,,,True,,,,
baseline,1030,303,438.65,43855.475000000086,438.55475000000087,120.4579906463623,2122,False,None,,,,,0.175,0.035,0.0,0.0,,,2.0,,,,,True,,,,
baseline,1030,404,438.65,43852.62500000009,438.52625000000086,119.57042384147644,2122,False,None,,,,,0.175,0.035,0.0,0.0,,,2.0,,,,,True,,,,
baseline,1030,505,438.65,43850.30000000008,438.50300000000084,120.11645150184631,2122,False,None,,,,,0.175,0.035,0.0,0.0,,,2.0,,,,,True,,,,
