algo,candidate_id,seed,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,p_macro,p_micro,lambda_in,lambda_out,tourn_size,parent_selection,mating_selection,p_min,tau_percent,fix_last_gene,c1,c2,w,error
macro,1008,1001,438.65,43832.97500000001,438.3297500000001,83.9814965724945,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1008,101,438.5,43830.125,438.30125,86.098886013031,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1008,1102,438.35,43815.425,438.15425000000005,83.3217499256134,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1008,202,438.5,43831.999999999956,438.31999999999954,87.42483377456665,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1008,303,438.35,43818.124999999905,438.18124999999907,88.04799294471741,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1008,404,438.35,43828.92499999992,438.28924999999924,86.50916028022766,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1008,505,438.35,43811.599999999984,438.1159999999998,83.5528073310852,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1008,606,438.5,43839.950000000004,438.39950000000005,84.74263024330139,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1008,707,438.5,43824.34999999993,438.24349999999936,83.49290060997009,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1008,808,438.65,43853.37500000009,438.53375000000085,84.2989604473114,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1008,909,438.35,43816.32499999993,438.1632499999993,84.35066652297974,2122,False,None,,,,,0.15,0.3,1.0,0.0,,,5.0,,,,,True,,,,
macro,1030,1001,438.65,43850.52500000008,438.50525000000084,82.863933801651,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1030,101,438.65,43854.65000000009,438.5465000000009,84.40264892578125,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1030,1102,438.65,43850.52500000008,438.50525000000084,83.76848864555359,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1030,202,438.65,43856.825000000084,438.56825000000083,81.03679084777832,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1030,303,438.65,43856.37500000008,438.5637500000008,81.94936513900757,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1030,404,438.65,43860.27500000008,438.6027500000008,81.87867879867554,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1030,505,438.65,43854.20000000008,438.54200000000077,84.63194537162781,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1030,606,438.65,43846.62500000009,438.46625000000085,83.14098310470581,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1030,707,438.65,43848.725000000086,438.48725000000087,83.34630560874939,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1030,808,438.65,43849.77500000008,438.4977500000008,82.72576236724854,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1030,909,438.65,43861.92500000008,438.6192500000008,82.67281913757324,2122,False,None,,,,,0.175,0.035,1.0,0.0,,,2.0,,,,,True,,,,
macro,1043,1001,438.65,43854.725000000086,438.5472500000009,83.14854764938354,2122,False,None,,,,,0.175,0.08,1.0,0.0,,,3.0,,,,,True,,,,
macro,1043,101,438.65,43857.95000000008,438.5795000000008,82.74477815628052,2122,False,None,,,,,0.175,0.08,1.0,0.0,,,3.0,,,,,True,,,,
