algo,candidate_id,seed,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,p_macro,p_micro,lambda_in,lambda_out,tourn_size,parent_selection,mating_selection,p_min,tau_percent,fix_last_gene,c1,c2,w,error
micro,100062,1001,438.2,43801.39999999989,438.01399999999893,273.2028229236603,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,100062,101,438.65,43862.75000000008,438.6275000000008,239.3052339553833,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,100062,1102,438.5,43847.0,438.47,269.57128047943115,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,100062,202,438.5,43836.350000000006,438.36350000000004,239.09279251098633,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,100062,303,438.35,43823.22499999992,438.23224999999917,239.43308091163635,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,100062,404,438.5,43817.29999999991,438.1729999999991,243.9850995540619,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,100062,505,438.35,43823.299999999916,438.23299999999915,240.81315970420837,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,100062,606,438.5,43816.69999999995,438.1669999999995,248.2760148048401,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,100062,707,438.5,43836.05,438.3605,263.88437485694885,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,100062,808,438.35,43818.87499999999,438.1887499999999,271.84490847587585,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,100062,909,438.5,43846.55,438.4655,271.880175113678,2122,False,None,,,,,0.035,0.3,0.0,1.0,0.7,0.3,3.0,,,,,True,,,,
micro,101578,1001,438.65,43859.52500000008,438.5952500000008,230.8499298095703,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,101578,101,438.65,43860.50000000008,438.6050000000008,268.0425672531128,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,101578,1102,438.65,43857.87500000008,438.5787500000008,234.17967987060547,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,101578,202,438.65,43857.72500000008,438.5772500000008,259.37873911857605,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,101578,303,438.65,43858.47500000008,438.5847500000008,254.1508777141571,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,101578,404,438.65,43859.37500000008,438.5937500000008,245.72624230384827,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,101578,505,438.65,43861.10000000008,438.6110000000008,248.29215955734253,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,101578,606,438.65,43858.47500000008,438.5847500000008,246.15103363990784,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,101578,707,438.65,43857.57500000008,438.57575000000077,243.70239901542664,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,101578,808,438.65,43860.42500000008,438.60425000000083,243.57933402061462,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,101578,909,438.65,43861.62500000008,438.6162500000008,244.36942553520203,2122,False,None,,,,,0.0075,0.04,0.0,1.0,0.7,0.4,4.0,,,,,True,,,,
micro,10167,1001,438.65,43863.87500000008,438.6387500000008,226.0412311553955,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,101,438.65,43838.75000000002,438.3875000000002,225.56572461128235,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,1102,438.5,43841.15,438.4115,226.41031432151794,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,202,438.35,43826.97499999992,438.2697499999992,228.29037427902222,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,303,438.65,43854.87500000008,438.5487500000008,225.83437991142273,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,404,438.5,43842.350000000006,438.42350000000005,227.19428658485413,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,505,438.5,43842.275,438.42275,228.7275288105011,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,606,438.5,43829.15000000001,438.2915000000001,230.08581948280334,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,707,438.65,43852.47500000007,438.5247500000007,226.22917246818542,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,808,438.65,43852.02500000009,438.5202500000009,225.3586449623108,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,10167,909,438.65,43849.17500000008,438.4917500000008,226.94368815422058,2122,False,None,,,,,0.1,0.2,0.0,1.0,0.05,0.4,3.0,,,,,True,,,,
micro,104500,1001,438.65,43859.37500000008,438.5937500000008,236.91094374656677,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,101,438.65,43858.85000000008,438.5885000000008,236.6388556957245,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,1102,438.65,43860.87500000008,438.6087500000008,235.84802174568176,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,202,438.65,43862.52500000008,438.6252500000008,234.98521780967712,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,303,438.65,43858.77500000008,438.5877500000008,235.3900740146637,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,404,438.65,43862.22500000008,438.6222500000008,236.97225785255432,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
micro,104500,505,438.65,43860.35000000008,438.6035000000008,246.8349871635437,2122,False,None,,,,,0.04,0.02,0.0,1.0,0.7,0.5,6.0,,,,,True,,,,
