algo,candidate_id,seed,best_final,auc_best,auc_best_norm,runtime_sec,evals_total,budget_triggered,stop_reason,cxpb,mutpb,mutation_rate,parents_rate,sel_mutation,tail_mutation,p_macro,p_micro,lambda_in,lambda_out,tourn_size,parent_selection,mating_selection,p_min,tau_percent,fix_last_gene,c1,c2,w,error
recomb,1008,1001,438.35,43823.82499999992,438.2382499999992,124.78771543502808,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1008,101,438.5,43835.82500000001,438.3582500000001,122.7481141090393,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1008,1102,438.5,43820.14999999992,438.2014999999992,124.68187999725342,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1008,202,438.65,43839.72500000002,438.3972500000002,123.50180387496948,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1008,303,438.65,43835.075000000026,438.3507500000003,124.2721779346466,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1008,404,438.35,43820.224999999984,438.2022499999998,123.12873148918152,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1008,505,438.35,43826.44999999992,438.26449999999915,123.3062481880188,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1008,606,438.35,43817.52499999997,438.1752499999997,121.89844822883606,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1008,707,438.2,43800.19999999992,438.00199999999916,123.07369828224182,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1008,808,438.65,43847.975000000064,438.47975000000065,122.14803528785706,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1008,909,438.35,43822.024999999914,438.22024999999917,122.98313450813293,2122,False,None,,,,,0.15,0.3,,,,,5.0,,,,,True,,,,
recomb,1030,1001,438.65,43857.72500000008,438.5772500000008,119.01387858390808,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1030,101,438.65,43858.25000000008,438.5825000000008,119.99451637268066,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1030,1102,438.65,43855.92500000008,438.5592500000008,121.98346209526062,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1030,202,438.65,43855.62500000008,438.5562500000008,118.42688345909119,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1030,303,438.65,43858.02500000008,438.58025000000083,119.44138216972351,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1030,404,438.65,43857.87500000008,438.5787500000008,118.99054408073425,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1030,505,438.65,43849.100000000086,438.49100000000084,120.21145796775818,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1030,606,438.65,43855.77500000008,438.5577500000008,119.4601538181305,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1030,707,438.65,43858.32500000008,438.58325000000076,121.46210026741028,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1030,808,438.65,43851.725000000086,438.51725000000084,119.86527109146118,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1030,909,438.65,43860.27500000008,438.6027500000008,121.568514585495,2122,False,None,,,,,0.175,0.035,,,,,2.0,,,,,True,,,,
recomb,1043,1001,438.65,43856.52500000009,438.5652500000009,120.83599972724915,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1043,101,438.65,43857.50000000008,438.5750000000008,122.32127618789673,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1043,1102,438.65,43853.82500000008,438.53825000000074,119.2484679222107,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1043,202,438.65,43857.72500000008,438.5772500000008,123.08813500404358,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1043,303,438.65,43859.52500000008,438.5952500000008,122.89987397193909,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1043,404,438.65,43855.17500000008,438.5517500000008,124.31763195991516,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1043,505,438.65,43856.75000000008,438.5675000000008,121.84043645858765,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1043,606,438.65,43858.47500000008,438.5847500000008,122.2818295955658,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1043,707,438.65,43858.77500000008,438.5877500000008,124.28657174110413,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1043,808,438.65,43855.77500000008,438.5577500000008,123.49304723739624,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1043,909,438.65,43860.57500000008,438.6057500000008,123.29229140281677,2122,False,None,,,,,0.175,0.08,,,,,3.0,,,,,True,,,,
recomb,1044,1001,438.65,43860.27500000008,438.6027500000008,120.54999542236328,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1044,101,438.65,43860.20000000008,438.60200000000077,123.76909947395325,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1044,1102,438.65,43859.52500000008,438.5952500000008,121.13115954399109,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1044,202,438.65,43858.02500000008,438.58025000000083,122.01034450531006,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1044,303,438.65,43858.77500000008,438.5877500000008,122.34437251091003,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1044,404,438.65,43861.02500000008,438.6102500000008,122.5342493057251,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1044,505,438.65,43859.15000000008,438.5915000000008,122.56434559822083,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1044,606,438.65,43860.72500000008,438.60725000000076,121.23813652992249,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1044,707,438.65,43857.72500000008,438.5772500000008,121.56312155723572,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1044,808,438.65,43861.32500000008,438.6132500000008,120.89125180244446,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1044,909,438.65,43861.92500000008,438.6192500000008,123.05429673194885,2122,False,None,,,,,0.175,0.08,,,,,5.0,,,,,True,,,,
recomb,1056,1001,438.65,43861.77500000008,438.6177500000008,122.46534204483032,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1056,101,438.65,43858.25000000008,438.5825000000008,124.11706709861755,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1056,1102,438.65,43857.27500000008,438.57275000000084,123.39127135276794,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1056,202,438.65,43852.475000000086,438.52475000000084,123.445485830307,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1056,303,438.65,43855.325000000084,438.55325000000084,120.4806215763092,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1056,404,438.65,43858.17500000008,438.58175000000085,122.56950902938843,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1056,505,438.65,43856.00000000009,438.56000000000085,123.16517949104309,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1056,606,438.65,43856.97500000008,438.5697500000008,120.6915500164032,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1056,707,438.65,43854.575000000084,438.54575000000085,124.00550174713135,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1056,808,438.65,43858.02500000009,438.5802500000009,124.57117128372192,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1056,909,438.65,43861.77500000008,438.6177500000008,122.93998885154724,2122,False,None,,,,,0.175,0.15,,,,,5.0,,,,,True,,,,
recomb,1059,1001,438.65,43854.575000000084,438.54575000000085,121.86484241485596,2122,False,None,,,,,0.175,0.175,,,,,5.0,,,,,True,,,,
recomb,1059,101,438.65,43856.75000000009,438.56750000000085,122.10256123542786,2122,False,None,,,,,0.175,0.175,,,,,5.0,,,,,True,,,,
recomb,1059,1102,438.65,43853.37500000009,438.53375000000085,121.39422821998596,2122,False,None,,,,,0.175,0.175,,,,,5.0,,,,,True,,,,
recomb,1059,202,438.65,43854.12500000009,438.5412500000009,123.99068117141724,2122,False,None,,,,,0.175,0.175,,,,,5.0,,,,,True,,,,
recomb,1059,303,438.65,43856.52500000009,438.5652500000009,119.43959069252014,2122,False,None,,,,,0.175,0.175,,,,,5.0,,,,,True,,,,
recomb,1059,404,438.65,43861.32500000008,438.6132500000008,122.29519248008728,2122,False,None,,,,,0.175,0.175,,,,,5.0,,,,,True,,,,
recomb,1059,505,438.65,43846.400000000096,438.46400000000096,122.47571110725403,2122,False,None,,,,,0.175,0.175,,,,,5.0,,,,,True,,,,
recomb,1059,606,438.65,43858.32500000008,438.58325000000076,121.35040593147278,2122,False,None,,,,,0.175,0.175,,,,,5.0,,,,,True,,,,
