name,nodes,edges,dag_density,longest_path_length,max_betweenness_node,max_betweenness_value,outdeg_std,sink_count,sink,ICS_raw,ICS
Linear,15,14,0.133333,14,H,0.269231,0.249444,1,O,14.5186745950157,1.4246287377651534
Linear All-Inputs,15,27,0.257143,14,G,0.230769,0.541603,1,O,14.772371791078294,1.4812449032891901
Assembly Tree,15,25,0.238095,4,G,0.03022,0.788811,1,O,4.819030417966395,-0.7399858846076871
Tri-Spine Convergent,15,15,0.142857,5,J,0.049451,0.365148,1,O,5.41459892112066,-0.6070762368906301
Sequential Mergers with External Inputs,15,14,0.133333,7,F,0.131868,0.249444,1,O,7.381311957653062,-0.1681760340396438
Butterfly,15,26,0.247619,7,G,0.115385,0.573488,1,O,7.68887296652079,-0.09953938666219804
Tri-Cluster,15,18,0.171429,4,N,0.071429,0.541603,1,O,4.613031131737635,-0.7859575779017798
Hyper-Dense,15,92,0.87619,5,A,0.0,4.063934,1,O,9.063933507767512,0.20732508175544961
All Inputs,15,14,0.133333,1,A,0.0,0.249444,1,O,1.2494438257849294,-1.53659029526686
Mangrove,15,31,0.295238,5,M,0.074176,1.123487,1,O,6.1976624605993385,-0.4323243844656457
Dominant Input,15,27,0.257143,14,H,0.230769,3.270066,1,O,17.500835489017422,2.09014068434754
Successive Diamonds,15,22,0.209524,5,E,0.075275,0.618241,1,A,5.693515958307772,-0.5448319023455873
Interlaced Pathway,15,23,0.219048,12,L,0.113919,0.618241,1,O,12.73216064695246,1.025942544285928
Explosive Expansion,15,20,0.190476,4,B,0.036107,0.596285,1,O,4.632391544392409,-0.781637024326541
All_in_one,15,19,0.180952,5,J,0.065934,0.679869,1,O,5.745803334413104,-0.5331632249366869
