generation,best_fitness_evader,best_fitness_auditor,mean_fitness_evader,std_fitness_evader,mean_fitness_auditor,std_fitness_auditor,best_evader_genome,best_auditor_genome
0,0.5392950125214689,-0.2011099388410873,0.3836919283934225,0.09956379859898244,-0.24648905128006254,0.015998285445449116,"[1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]","[14, 19, 8, 16, 11, 8, 11, 6, 13, 1, 7, 2, 12, 9, 10, 25, 18, 18, 15, 24]"
1,0.5097693679631771,-0.3170199052336957,0.4412604472100726,0.0705389369272803,-0.3500725776346964,0.016932925757463992,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1]","[22, 13, 8, 7, 13, 17, 20, 8, 10, 19, 3, 13, 17, 14, 2, 18, 5, 12, 25, 15]"
2,0.6115271388546356,-0.3984655049443243,0.48442878289057195,0.03690909003753741,-0.4163987030887168,0.01153296131458902,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[1, 21, 11, 4, 16, 19, 19, 7, 14, 16, 6, 12, 7, 19, 11, 24, 9, 24, 24, 21]"
3,0.6118093335554631,-0.45032394030121087,0.5173150287678447,0.044281691771636475,-0.46548842194704215,0.011282406552846697,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[1, 21, 15, 16, 14, 1, 20, 8, 10, 19, 16, 1, 13, 14, 10, 7, 9, 24, 24, 2]"
4,0.6030950762870361,-0.4662998268953264,0.5361136303945983,0.04329591869946988,-0.48474648968418144,0.015607542384293908,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[8, 8, 15, 16, 14, 1, 20, 8, 10, 19, 16, 1, 13, 14, 10, 7, 16, 0, 14, 8]"
5,0.5940078434405274,-0.4904995157985681,0.5434762747564456,0.0439274549159528,-0.5106923666233107,0.010335241295480505,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[8, 13, 8, 7, 13, 17, 20, 8, 16, 25, 16, 1, 13, 7, 10, 7, 16, 0, 14, 8]"
6,0.5982859707617764,-0.4987618059564857,0.583348455385634,0.025044788465982615,-0.5112620120811785,0.015235535001342978,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[8, 8, 15, 16, 14, 1, 20, 8, 10, 19, 16, 1, 13, 14, 10, 7, 16, 0, 14, 8]"
7,0.6271785139405173,-0.5346995263170993,0.5953271373420363,0.00945266353566182,-0.5465822946806673,0.00596876342102219,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 21, 15, 16, 14, 1, 20, 8, 10, 19, 16, 1, 13, 14, 10, 7, 9, 24, 24, 2]"
8,0.625866278879726,-0.5725137903874542,0.6055542215456471,0.020988930594219933,-0.5754398482556567,0.004510929872229099,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 21, 15, 16, 14, 1, 20, 8, 10, 19, 16, 1, 13, 14, 10, 7, 9, 24, 24, 2]"
9,0.6313752755848043,-0.5943892679575231,0.6204353713516246,0.012931654259321293,-0.5972202641236287,0.003039401650746662,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]","[1, 21, 15, 16, 14, 1, 20, 8, 10, 19, 16, 1, 13, 14, 10, 7, 9, 24, 24, 2]"
